Location,Followers,Following,Stars,Contributions,Weight,Longitude,Latitude
"Brooklyn, NY",2600,275,2200,2683,2280.7,-73.9495823,40.6501038
Amsterdam,1300,20,318,185,431.4,4.8936041,52.3727598
"Brooklyn, NY",482,11,74,81,152.1,-73.9495823,40.6501038
"Mountain View, CA",3100,110,286,1999,1516.4,-114.2502063,51.6878246
Luxembourg & Shanghai,614,43,145,665,436.6,2.3255977,48.8489697
Germany,928,0,125,610,467.1,10.4234469,51.0834196
"San Francisco, CA",36300,4,20,29,7278.0,-71.2743272,46.8443248
Santa Clara CA,2900,0,2,0,580.6,-121.6846349,37.2333253
Toronto,610,5,20,1152,589.3,-79.3839347,43.6534817
Harbin,104,19,68,45,61.1,126.5303997,45.7988273
China - Heilongjiang - Harbin,34,0,5,151,68.7,126.5303997,45.7988273
Bay Area,28,3,138,161,111.7,-122.3558473,37.7884969
"Berlin, Deutschland",68,3,158,1665,727.3,13.4025498,52.5015217
"Santa Clara, CA, US",57,3,3,3,13.8,-121.6846349,37.2333253
"Vienna, Austria",651,0,123,302,287.9000000000001,16.3725042,48.2083537
 Shenzhen,252,11,194,594,347.3,114.0543297,22.555454
China,195,9,51,0,55.2,104.999927,35.000074
Austria,10,2,14,38,21.6,13.199959,47.2000338
Brazil,268,46,429,491,383.3,-53.2,-10.3333333
Singapore,78,0,0,24,25.200000000000006,103.83039182212079,1.3408630000000001
Paris,7600,2,21,215,1612.5,2.3514616,48.8566969
Bawana New Delhi,7600,2,21,121,1574.9,77.0328847,28.79966
"Shanghai,China",451,9,162,59,163.3,121.4692071,31.2322758
"Taipei, Taiwan",338,129,633,903,631.6000000000001,121.5636796,25.0375198
"Boston, MA",479,161,1100,188,517.1,-71.0582912,42.3602534
"Denver , USA",27,11,43,608,262.6,-104.9848623,39.7392364
"Beijing, China",1300,10,0,0,261.0,116.412144,40.190632
"Beijing, China",36,7,89,1,35.0,116.412144,40.190632
Oakland,309,111,320,466,355.3,-122.2713563,37.8044557
"Chicago, IL",43,3,13,198,92.0,-87.6244212,41.8755616
China,2200,6,243,25,523.5,104.999927,35.000074
"hangzhou,China",77,2,101,16,52.3,120.2052342,30.2489634
"New Delhi, India",594,11,13,129,175.4,77.2090057,28.6138954
